CUST_ID,INCOME,SAVINGS,DEBT,R_SAVINGS_INCOME,R_DEBT_INCOME,R_DEBT_SAVINGS,T_CLOTHING_12,T_CLOTHING_6,R_CLOTHING,R_CLOTHING_INCOME,R_CLOTHING_SAVINGS,R_CLOTHING_DEBT,T_EDUCATION_12,T_EDUCATION_6,R_EDUCATION,R_EDUCATION_INCOME,R_EDUCATION_SAVINGS,R_EDUCATION_DEBT,T_ENTERTAINMENT_12,T_ENTERTAINMENT_6,R_ENTERTAINMENT,R_ENTERTAINMENT_INCOME,R_ENTERTAINMENT_SAVINGS,R_ENTERTAINMENT_DEBT,T_FINES_12,T_FINES_6,R_FINES,R_FINES_INCOME,R_FINES_SAVINGS,R_FINES_DEBT,T_GAMBLING_12,T_GAMBLING_6,R_GAMBLING,R_GAMBLING_INCOME,R_GAMBLING_SAVINGS,R_GAMBLING_DEBT,T_GROCERIES_12,T_GROCERIES_6,R_GROCERIES,R_GROCERIES_INCOME,R_GROCERIES_SAVINGS,R_GROCERIES_DEBT,T_HEALTH_12,T_HEALTH_6,R_HEALTH,R_HEALTH_INCOME,R_HEALTH_SAVINGS,R_HEALTH_DEBT,T_HOUSING_12,T_HOUSING_6,R_HOUSING,R_HOUSING_INCOME,R_HOUSING_SAVINGS,R_HOUSING_DEBT,T_TAX_12,T_TAX_6,R_TAX,R_TAX_INCOME,R_TAX_SAVINGS,R_TAX_DEBT,T_TRAVEL_12,T_TRAVEL_6,R_TRAVEL,R_TRAVEL_INCOME,R_TRAVEL_SAVINGS,R_TRAVEL_DEBT,T_UTILITIES_12,T_UTILITIES_6,R_UTILITIES,R_UTILITIES_INCOME,R_UTILITIES_SAVINGS,R_UTILITIES_DEBT,T_EXPENDITURE_12,T_EXPENDITURE_6,R_EXPENDITURE,R_EXPENDITURE_INCOME,R_EXPENDITURE_SAVINGS,R_EXPENDITURE_DEBT,CAT_GAMBLING,CAT_DEBT,CAT_CREDIT_CARD,CAT_MORTGAGE,CAT_SAVINGS_ACCOUNT,CAT_DEPENDENTS,CREDIT_SCORE,DEFAULT
17cef92dcaa72204,195779,307652,1468341,1.5714,7.5,4.7727,11842,1541,0.1301,0.0605,0.0385,0.0081,0,0,0.5048,0.0,0.0,0.0,22386,11318,0.5056,0.1143,0.0728,0.0152,0,0,0.7291,0.0,0.0,0.0,11032,5989,0.5429,0.0563,0.0359,0.0075,22277,10516,0.4721,0.1138,0.0724,0.0152,6779,2630,0.388,0.0346,0.022,0.0046,0,0,0.506,0.0,0.0,0.0,9815,4914,0.5007,0.0501,0.0319,0.0067,43929,8708,0.1982,0.2244,0.1428,0.0299,11782,5948,0.5048,0.0602,0.0383,0.008,139842,51564,0.3687,0.7143,0.4545,0.0952,High,1,0,0,1,0,575,0
d5686fcfa23294cd,328892,1465066,5501471,4.4546,16.7273,3.7551,16701,10132,0.6067,0.0508,0.0114,0.003,0,0,0.506,0.0,0.0,0.0,9778,4926,0.5038,0.0297,0.0067,0.0018,0,0,0.3163,0.0,0.0,0.0,3216,1446,0.4496,0.0098,0.0022,0.0006,74781,38607,0.5163,0.2274,0.051,0.0136,14270,7337,0.5142,0.0434,0.0097,0.0026,79932,40453,0.5061,0.243,0.0546,0.0145,6712,3360,0.5006,0.0204,0.0046,0.0012,74298,39295,0.5289,0.2259,0.0507,0.0135,19305,9702,0.5026,0.0587,0.0132,0.0035,298993,155258,0.5193,0.9091,0.2041,0.0543,High,1,1,1,1,1,418,0
927fa6bd39cc2dc1,86786,433928,899414,5.0,10.3636,2.0727,4098,3167,0.7728,0.0472,0.0094,0.0046,0,0,0.502,0.0,0.0,0.0,2847,1465,0.5146,0.0328,0.0066,0.0032,0,0,0.4246,0.0,0.0,0.0,1042,521,0.5,0.012,0.0024,0.0012,18324,7817,0.4266,0.2111,0.0422,0.0204,4041,2729,0.6753,0.0466,0.0093,0.0045,23193,11737,0.5061,0.2672,0.0534,0.0258,1947,975,0.5008,0.0224,0.0045,0.0022,17768,9347,0.5261,0.2047,0.0409,0.0198,5636,2827,0.5016,0.0649,0.013,0.0063,78896,40585,0.5144,0.9091,0.1818,0.0877,High,1,0,1,1,1,521,1
ec34b6662956e833,92747,176219,500834,1.9,5.4,2.8421,8748,3722,0.4255,0.0943,0.0496,0.0175,6942,3480,0.5013,0.0748,0.0394,0.0139,20992,10794,0.5142,0.2263,0.1191,0.0419,0,0,0.8332,0.0,0.0,0.0,0,0,0.5227,0.0,0.0,0.0,7172,3708,0.517,0.0773,0.0407,0.0143,2780,1164,0.4187,0.03,0.0158,0.0056,0,0,0.5062,0.0,0.0,0.0,2405,1205,0.501,0.0259,0.0136,0.0048,40226,23840,0.5927,0.4337,0.2283,0.0803,3482,1738,0.4991,0.0375,0.0198,0.007,92747,49651,0.5353,1.0,0.5263,0.1852,No,1,1,0,1,0,606,0
f4c9d3c223fbc054,55360,110720,437344,2.0,7.9,3.95,3926,1105,0.2815,0.0709,0.0355,0.009,3800,1901,0.5003,0.0686,0.0343,0.0087,11642,5887,0.5057,0.2103,0.1051,0.0266,0,0,0.5394,0.0,0.0,0.0,5611,3393,0.6047,0.1014,0.0507,0.0128,3900,2026,0.5195,0.0704,0.0352,0.0089,684,460,0.6725,0.0124,0.0062,0.0016,0,0,0.5058,0.0,0.0,0.0,1574,788,0.5006,0.0284,0.0142,0.0036,22323,12981,0.5815,0.4032,0.2016,0.051,1900,955,0.5026,0.0343,0.0172,0.0043,55360,29496,0.5328,1.0,0.5,0.1266,High,1,0,0,1,0,575,1
ac78251635385dfe,30027,318286,39035,10.6,1.3,0.1226,2292,1558,0.6798,0.0763,0.0072,0.0587,0,0,0.4997,0.0,0.0,0.0,4270,2196,0.5143,0.1422,0.0134,0.1094,0,0,0.7185,0.0,0.0,0.0,339,173,0.5103,0.0113,0.0011,0.0087,5649,3086,0.5463,0.1881,0.0177,0.1447,6290,4470,0.7107,0.2095,0.0198,0.1611,8966,4539,0.5062,0.2986,0.0282,0.2297,240,120,0.5,0.008,0.0008,0.0061,0,0,0.5993,0.0,0.0,0.0,1981,994,0.5018,0.066,0.0062,0.0507,30027,17136,0.5707,1.0,0.0943,0.7692,Low,1,0,0,1,0,641,0
a533de75fe532399,32259,20162,1112942,0.625,34.5002,55.2,1202,693,0.5765,0.0373,0.0596,0.0011,9394,4700,0.5003,0.2912,0.4659,0.0084,3559,1800,0.5058,0.1103,0.1765,0.0032,0,0,0.7447,0.0,0.0,0.0,1324,678,0.5121,0.041,0.0657,0.0012,5855,3454,0.5899,0.1815,0.2904,0.0053,1144,764,0.6678,0.0355,0.0567,0.001,3459,1751,0.5062,0.1072,0.1716,0.0031,0,0,0.5552,0.0,0.0,0.0,13313,10273,0.7717,0.4127,0.6603,0.012,1074,538,0.5009,0.0333,0.0533,0.001,40324,24651,0.6113,1.25,2.0,0.0362,High,1,0,0,1,0,300,1
e3ef8cd34f128c1f,56326,757834,5120,13.4544,0.0909,0.0068,1529,90,0.0589,0.0271,0.002,0.2986,0,0,0.503,0.0,0.0,0.0,12427,8325,0.6699,0.2206,0.0164,2.4271,0,0,0.3415,0.0,0.0,0.0,0,0,0.5482,0.0,0.0,0.0,9001,4033,0.4481,0.1598,0.0119,1.758,6640,2024,0.3048,0.1179,0.0088,1.2969,17366,8790,0.5062,0.3083,0.0229,3.3918,380,190,0.5,0.0067,0.0005,0.0742,0,0,0.6385,0.0,0.0,0.0,3862,1942,0.5028,0.0686,0.0051,0.7543,51205,25394,0.4959,0.9091,0.0676,10.001,No,1,0,0,1,0,645,0
289658e2c4ebb9d7,4436,2661,0,0.5999,0.0,0.0,85,45,0.5294,0.0192,0.0319,0.0273,0,0,0.5018,0.0,0.0,0.0,2642,1368,0.5178,0.5956,0.9929,0.3762,0,0,0.4016,0.0,0.0,0.0004,0,0,0.6347,0.0,0.0,0.0372,405,213,0.5259,0.0913,0.1522,0.0,0,0,0.6435,0.0,0.0,0.0,0,0,0.506,0.0,0.0,0.1307,0,0,0.5175,0.0,0.0,0.0578,5739,3116,0.543,1.2937,2.1567,0.0,0,0,0.5041,0.0,0.0,0.0069,8871,4742,0.5346,1.9998,3.3337,2.7897,No,0,0,0,1,0,635,0
ac70820e683aff4f,57832,86748,439523,1.5,7.6,5.0667,10890,9332,0.8569,0.1883,0.1255,0.0248,3054,1534,0.5023,0.0528,0.0352,0.0069,9308,4746,0.5099,0.1609,0.1073,0.0212,0,0,0.8779,0.0,0.0,0.0,0,0,0.5004,0.0,0.0,0.0,3220,1693,0.5258,0.0557,0.0371,0.0073,1218,677,0.5558,0.0211,0.014,0.0028,0,0,0.5063,0.0,0.0,0.0,848,424,0.5,0.0147,0.0098,0.0019,27770,18604,0.6699,0.4802,0.3201,0.0632,1524,768,0.5039,0.0264,0.0176,0.0035,57832,37778,0.6532,1.0,0.6667,0.1316,No,1,1,0,1,0,537,0
